epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,483.285,2.78208,2.38711,2.16826,0.0213,0.03253,0.00515,0.00174,nan,nan,nan,0.000665333,0.000665333,0.000665333
2,1000.83,3.22764,2.6671,2.58602,0.01824,0.04957,0.00446,0.00123,3.64091,3.77151,3.13483,0.00126607,0.00126607,0.00126607
3,1459.58,3.06426,2.49539,2.42436,0.09508,0.08556,0.03608,0.01302,3.18055,2.5331,2.60591,0.0018008,0.0018008,0.0018008
4,1901.78,2.88742,2.28777,2.2856,0.13387,0.14514,0.0517,0.01988,2.85928,2.31975,2.35879,0.001703,0.001703,0.001703
5,2330.97,2.68018,2.10297,2.1139,0.22884,0.16051,0.10034,0.0397,2.76676,2.1546,2.32336,0.001604,0.001604,0.001604
6,2766.62,2.50896,1.95544,2.02209,0.26623,0.18494,0.13666,0.05708,2.61147,2.01539,2.23546,0.001505,0.001505,0.001505
7,3204.75,2.41673,1.87048,1.9558,0.30271,0.21342,0.15578,0.06754,2.56905,1.94946,2.20592,0.001406,0.001406,0.001406
8,3661.02,2.25012,1.68584,1.85026,0.32543,0.22295,0.17752,0.08083,2.56365,1.93261,2.1607,0.001307,0.001307,0.001307
9,4118.16,2.17596,1.60065,1.78627,0.33116,0.23695,0.19969,0.09415,2.50256,1.8552,2.15559,0.001208,0.001208,0.001208
10,4554.15,2.05581,1.48384,1.70923,0.37291,0.26704,0.23047,0.10854,2.46258,1.7772,2.12717,0.001109,0.001109,0.001109
11,5003.47,1.94626,1.38212,1.63962,0.36417,0.28467,0.23231,0.11027,2.44796,1.75151,2.12369,0.00101,0.00101,0.00101
12,5462.15,1.83449,1.28157,1.58653,0.40149,0.30279,0.26357,0.12638,2.45236,1.69155,2.11607,0.000911,0.000911,0.000911
13,5939.12,1.72696,1.17,1.50932,0.40071,0.29397,0.24849,0.11828,2.43484,1.71099,2.13686,0.000812,0.000812,0.000812
14,6395.29,1.62828,1.09356,1.44553,0.45331,0.30267,0.2941,0.14567,2.39602,1.64722,2.08552,0.000713,0.000713,0.000713
15,6846.22,1.57066,1.02036,1.40937,0.48488,0.31518,0.31231,0.15553,2.40186,1.68992,2.11289,0.000614,0.000614,0.000614
16,7304.5,1.40968,0.89226,1.3254,0.44169,0.31578,0.29688,0.14659,2.4289,1.67648,2.14184,0.000515,0.000515,0.000515
17,7772.6,1.32392,0.80714,1.29083,0.44099,0.31721,0.29387,0.14578,2.42236,1.65709,2.15883,0.000416,0.000416,0.000416
18,8245.28,1.25413,0.75342,1.25317,0.44197,0.33091,0.30063,0.15053,2.38757,1.63146,2.15186,0.000317,0.000317,0.000317
19,8727.19,1.12506,0.65941,1.1986,0.46706,0.329,0.30584,0.15183,2.3948,1.64437,2.1789,0.000218,0.000218,0.000218
20,9184.69,1.08086,0.63154,1.17051,0.48518,0.32698,0.30644,0.15317,2.38443,1.6451,2.17498,0.000119,0.000119,0.000119
