epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,480.068,1.8854,4.05382,2.17783,0.00706,0.02926,0.00096,0.00027,nan,nan,nan,0.000665333,0.000665333,0.000665333
2,939.619,2.0947,4.26282,2.41059,0.04945,0.0434,0.01562,0.00597,nan,nan,nan,0.00126607,0.00126607,0.00126607
3,1382.83,1.95597,3.8135,2.22212,0.2216,0.14312,0.08536,0.03072,2.03604,4.9175,2.55959,0.0018008,0.0018008,0.0018008
4,1825.17,1.81698,3.49771,2.10966,0.22385,0.16768,0.11407,0.04834,1.87861,4.25358,2.33774,0.001703,0.001703,0.001703
5,2264.22,1.68922,3.10751,1.9742,0.30857,0.16067,0.1398,0.05897,1.83247,3.76448,2.26878,0.001604,0.001604,0.001604
6,2691.51,1.5643,2.76468,1.88248,0.31247,0.24723,0.19243,0.08575,1.77663,3.31321,2.24144,0.001505,0.001505,0.001505
7,3120.94,1.48453,2.46725,1.77759,0.32323,0.20512,0.15975,0.07168,1.86752,3.90233,2.37259,0.001406,0.001406,0.001406
8,3550.24,1.4088,2.24898,1.69417,0.43409,0.26978,0.25927,0.12296,1.66041,3.10638,2.08293,0.001307,0.001307,0.001307
9,3995.81,1.31749,2.02978,1.6255,0.43793,0.3122,0.29621,0.14198,1.63667,2.89078,2.07937,0.001208,0.001208,0.001208
10,4446.06,1.25676,1.83978,1.5574,0.44935,0.32744,0.32274,0.15743,1.61841,2.83547,2.08248,0.001109,0.001109,0.001109
11,4898.19,1.18089,1.65415,1.49819,0.493,0.34211,0.33711,0.16258,1.63049,2.80516,2.06342,0.00101,0.00101,0.00101
12,5341.05,1.09404,1.47312,1.41409,0.46442,0.34731,0.33795,0.16364,1.62631,2.83389,2.08671,0.000911,0.000911,0.000911
13,5809.69,1.0213,1.32412,1.37307,0.48422,0.34097,0.3228,0.16003,1.59896,2.85373,2.0618,0.000812,0.000812,0.000812
14,6275.21,0.95521,1.19465,1.313,0.51875,0.35463,0.36135,0.18083,1.59103,2.742,2.07992,0.000713,0.000713,0.000713
15,6743.38,0.88097,1.05146,1.26023,0.50821,0.35865,0.35047,0.173,1.59017,2.76589,2.09374,0.000614,0.000614,0.000614
16,7212.31,0.83492,0.9645,1.20437,0.55462,0.35816,0.36995,0.18582,1.58355,2.829,2.0976,0.000515,0.000515,0.000515
17,7677.06,0.76318,0.87319,1.16063,0.50113,0.35828,0.34844,0.1773,1.59914,2.92205,2.11956,0.000416,0.000416,0.000416
18,8126.86,0.72318,0.82246,1.12471,0.54348,0.35875,0.36848,0.19032,1.57893,2.88138,2.12359,0.000317,0.000317,0.000317
19,8588.31,0.64801,0.72779,1.07776,0.54667,0.35633,0.366,0.18904,1.58041,2.91812,2.159,0.000218,0.000218,0.000218
20,9030.5,0.6023,0.67916,1.06384,0.55788,0.36426,0.37759,0.19602,1.56513,2.86665,2.1484,0.000119,0.000119,0.000119
