epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,624.483,1.85459,6.66098,2.14891,0.00272,0.00084,0.00014,6e-05,nan,nan,nan,0.000665333,0.000665333,0.000665333
2,1185.35,2.06057,7.02368,2.4004,0.10546,0.13203,0.04638,0.01457,2.11479,8.5204,2.66648,0.00126607,0.00126607,0.00126607
3,1718.02,1.9534,6.40056,2.29464,0.20156,0.18465,0.11051,0.04347,1.90717,6.52658,2.36841,0.0018008,0.0018008,0.0018008
4,2230.61,1.82411,5.72832,2.12713,0.2158,0.21072,0.11569,0.04583,1.88279,6.09034,2.35442,0.001703,0.001703,0.001703
5,2768.18,1.66178,5.04408,1.97147,0.30915,0.25163,0.19041,0.08104,1.78262,5.73313,2.24256,0.001604,0.001604,0.001604
6,3278.23,1.57037,4.50103,1.85799,0.34981,0.26732,0.22681,0.10304,1.72872,5.45,2.19375,0.001505,0.001505,0.001505
7,3807.22,1.47722,3.99208,1.79264,0.43405,0.29363,0.2922,0.13877,1.65303,5.04234,2.09599,0.001406,0.001406,0.001406
8,4338.23,1.43786,3.61455,1.71003,0.4718,0.32066,0.31346,0.15263,1.63845,5.07233,2.11032,0.001307,0.001307,0.001307
9,4857.32,1.34259,3.20173,1.63753,0.45745,0.32826,0.32641,0.1588,1.6198,4.75908,2.08066,0.001208,0.001208,0.001208
10,5366.83,1.27654,2.93978,1.58346,0.46513,0.33563,0.33455,0.16485,1.62105,4.91116,2.06898,0.001109,0.001109,0.001109
11,5834.28,1.20459,2.63676,1.53384,0.50486,0.35059,0.34708,0.1736,1.58168,4.78944,2.07334,0.00101,0.00101,0.00101
12,6308,1.13877,2.36657,1.46454,0.51051,0.37388,0.37583,0.18851,1.58532,4.47654,2.08353,0.000911,0.000911,0.000911
13,6793.47,1.06538,2.13788,1.39773,0.5305,0.36356,0.37612,0.19503,1.58083,4.72075,2.07177,0.000812,0.000812,0.000812
14,7268.99,1.02725,1.97976,1.34693,0.52411,0.367,0.37857,0.19557,1.57262,4.73552,2.05912,0.000713,0.000713,0.000713
15,7733.65,0.94317,1.7784,1.2998,0.50257,0.36664,0.35942,0.18717,1.56031,4.77102,2.0762,0.000614,0.000614,0.000614
16,8234.19,0.89043,1.61718,1.26338,0.55352,0.36013,0.37126,0.19145,1.55676,4.66897,2.0542,0.000515,0.000515,0.000515
17,8712.74,0.8214,1.46086,1.20658,0.54742,0.38016,0.38611,0.20356,1.5548,4.62322,2.07628,0.000416,0.000416,0.000416
18,9192.22,0.7679,1.32438,1.16417,0.55179,0.38496,0.3956,0.21352,1.54425,4.72618,2.08146,0.000317,0.000317,0.000317
19,9670.45,0.69357,1.17423,1.1028,0.57007,0.39235,0.40526,0.21612,1.53825,4.60535,2.11527,0.000218,0.000218,0.000218
20,10152.9,0.65161,1.122,1.08434,0.59631,0.38161,0.40226,0.21689,1.53418,4.70968,2.1,0.000119,0.000119,0.000119
