epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,575.724,1.59305,5.29112,1.77959,0.68269,0.53141,0.63722,0.4187,1.52661,4.00807,1.83853,0.00219978,0.00219978,0.0689331
2,1150.28,1.51897,3.89866,1.61089,0.65718,0.50502,0.59761,0.36305,1.68843,4.52718,1.88979,0.00418598,0.00418598,0.037586
3,1719.94,1.62824,4.03265,1.70639,0.61701,0.43869,0.52394,0.28965,1.86865,5.3943,2.01122,0.00595396,0.00595396,0.00602062
4,2326.67,1.71626,4.3224,1.78565,0.57416,0.45067,0.51629,0.29789,1.82725,5.00151,2.09654,0.00563061,0.00563061,0.00563061
5,2917.54,1.66593,3.92133,1.76924,0.64929,0.46798,0.55715,0.32113,1.81465,4.8525,2.05043,0.00530328,0.00530328,0.00530328
6,3531.21,1.57151,3.37319,1.6818,0.69492,0.51471,0.62489,0.37383,1.72504,4.29406,1.95931,0.00497596,0.00497596,0.00497596
7,4116.99,1.46302,2.98343,1.59723,0.71571,0.51301,0.63048,0.39246,1.67291,4.31667,1.9329,0.00464864,0.00464864,0.00464864
8,4686.22,1.4061,2.70698,1.54666,0.689,0.54388,0.63617,0.39009,1.68357,4.06164,1.93677,0.00432132,0.00432132,0.00432132
9,5266.7,1.34036,2.5151,1.5007,0.73654,0.53492,0.65038,0.4072,1.6367,4.03425,1.88811,0.00399399,0.00399399,0.00399399
10,5828.73,1.27266,2.32879,1.47919,0.71886,0.55574,0.65589,0.41603,1.6181,3.94211,1.88462,0.00366667,0.00366667,0.00366667
11,6388.39,1.23432,2.14996,1.42473,0.70296,0.54049,0.64332,0.40242,1.63276,4.27661,1.88612,0.00333935,0.00333935,0.00333935
12,6932.28,1.15058,1.94586,1.38831,0.71925,0.55514,0.66478,0.42889,1.60842,3.93178,1.87428,0.00301203,0.00301203,0.00301203
13,7482.9,1.10355,1.79559,1.34737,0.75124,0.56979,0.67949,0.44389,1.56998,3.89943,1.86089,0.0026847,0.0026847,0.0026847
14,8028.98,1.08385,1.73724,1.32297,0.74095,0.52693,0.63844,0.41461,1.5746,4.29167,1.87748,0.00235738,0.00235738,0.00235738
15,8574.58,1.00699,1.59934,1.29951,0.76438,0.56567,0.68703,0.45619,1.54896,3.95434,1.82982,0.00203006,0.00203006,0.00203006
16,9127.06,0.9699,1.50618,1.26501,0.75938,0.55547,0.68161,0.45243,1.54608,4.0321,1.82778,0.00170274,0.00170274,0.00170274
17,9662.27,0.90051,1.37039,1.22915,0.78111,0.56545,0.69795,0.46233,1.53835,3.99726,1.82672,0.00137542,0.00137542,0.00137542
18,10221.3,0.85997,1.3086,1.2105,0.76867,0.56918,0.6923,0.46605,1.52522,3.91743,1.83364,0.00104809,0.00104809,0.00104809
19,10773.9,0.81864,1.23664,1.18682,0.77077,0.57802,0.69876,0.47113,1.50158,3.91243,1.81494,0.00072077,0.00072077,0.00072077
20,11341,0.77005,1.13623,1.17045,0.77596,0.57705,0.69813,0.46951,1.50063,3.91173,1.82355,0.000393448,0.000393448,0.000393448
