epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,516.54,2.09991,7.6541,2.13879,0.09896,0.04682,0.02219,0.00741,nan,nan,nan,0.000665333,0.000665333,0.000665333
2,1031.61,2.35773,8.14333,2.42075,0.09392,0.08034,0.0292,0.01013,2.64959,12.7569,2.99271,0.00127925,0.00127925,0.00127925
3,1529.72,2.2004,7.56391,2.27167,0.19315,0.13698,0.07821,0.02672,2.30031,9.10704,2.51823,0.00184037,0.00184037,0.00184037
4,2013.09,2.08247,6.86331,2.1431,0.23457,0.1816,0.11446,0.04563,2.17914,7.70242,2.42771,0.0017624,0.0017624,0.0017624
