epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,491.786,2.92337,9.28759,2.14413,0.01268,0.07569,0.00416,0.00118,nan,nan,nan,0.000665333,0.000665333,0.000665333
2,965.118,3.23537,9.75368,2.36007,0.08805,0.0951,0.03091,0.00909,3.47225,11.3585,2.72476,0.00126607,0.00126607,0.00126607
3,1431.7,3.12418,9.32596,2.31944,0.10896,0.11635,0.045,0.01586,3.3422,10.468,2.61473,0.0018008,0.0018008,0.0018008
4,1884.18,2.87311,8.36471,2.13714,0.21792,0.17885,0.1005,0.04111,2.97778,9.59139,2.33707,0.001703,0.001703,0.001703
5,2351.03,2.66043,7.16564,1.9865,0.30451,0.23294,0.17421,0.07297,2.87245,8.15601,2.25477,0.001604,0.001604,0.001604
6,2817.41,2.52368,6.49197,1.90436,0.30649,0.23477,0.17661,0.07758,2.77059,7.97706,2.20708,0.001505,0.001505,0.001505
7,3285.06,2.355,5.76613,1.80211,0.35779,0.22874,0.19656,0.09032,2.72657,8.50539,2.16928,0.001406,0.001406,0.001406
8,3748.06,2.24174,5.14061,1.73336,0.40943,0.2996,0.27056,0.12794,2.62568,7.06538,2.07682,0.001307,0.001307,0.001307
9,4206.54,2.11317,4.54141,1.65346,0.39867,0.30265,0.27692,0.12294,2.72683,7.22771,2.18416,0.001208,0.001208,0.001208
10,4662.48,2.01746,4.17067,1.61092,0.42191,0.29911,0.26594,0.12689,2.61426,7.44066,2.13239,0.001109,0.001109,0.001109
11,5127.35,1.91765,3.82362,1.53032,0.47865,0.30331,0.30359,0.14437,2.59806,7.23195,2.10166,0.00101,0.00101,0.00101
12,5561.89,1.79217,3.34197,1.4733,0.51946,0.35795,0.35798,0.17211,2.54001,6.63693,2.04159,0.000911,0.000911,0.000911
13,5993.68,1.70848,3.14002,1.4365,0.54851,0.34111,0.34447,0.17073,2.50412,6.72033,2.04325,0.000812,0.000812,0.000812
14,6436.57,1.61911,2.82607,1.36503,0.52744,0.36565,0.36535,0.18383,2.51233,6.85391,2.05307,0.000713,0.000713,0.000713
15,6861.79,1.50276,2.52081,1.33544,0.51369,0.35832,0.34982,0.1764,2.50168,6.85457,2.06055,0.000614,0.000614,0.000614
16,7285.5,1.39571,2.30997,1.28099,0.54196,0.36272,0.37026,0.19004,2.47132,6.78919,2.05221,0.000515,0.000515,0.000515
17,7731.48,1.32393,2.11193,1.22882,0.57278,0.36113,0.3786,0.19505,2.46084,6.69402,2.03692,0.000416,0.000416,0.000416
18,8170.26,1.19914,1.88459,1.19491,0.53381,0.37926,0.37777,0.19409,2.46814,6.76362,2.08006,0.000317,0.000317,0.000317
19,8596.92,1.13134,1.792,1.15743,0.56591,0.37382,0.37723,0.1968,2.43448,6.70525,2.07001,0.000218,0.000218,0.000218
20,9047.76,1.05158,1.64352,1.11392,0.5701,0.36686,0.37793,0.19812,2.45287,6.90039,2.09445,0.000119,0.000119,0.000119
