epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,506.458,2.56982,3.2832,2.21274,0.00473,0.19454,0.00271,0.00081,3.14537,75.2049,3.30099,0.000665333,0.000665333,0.000665333
2,1002.84,2.88013,3.53046,2.48414,0.06811,0.08705,0.02089,0.00745,nan,nan,nan,0.00126607,0.00126607,0.00126607
3,1496.59,2.69825,3.27776,2.3275,0.14761,0.1432,0.06404,0.0243,2.65548,3.58755,2.40442,0.0018008,0.0018008,0.0018008
4,1972.44,2.52,3.01953,2.18247,0.20246,0.14669,0.0944,0.03653,2.61826,3.11032,2.36675,0.001703,0.001703,0.001703
5,2429.44,2.29824,2.73776,2.018,0.26176,0.19574,0.13959,0.06193,2.4148,2.85086,2.21124,0.001604,0.001604,0.001604
6,2884.05,2.16441,2.49949,1.90333,0.30182,0.21727,0.17677,0.0809,2.36033,2.7072,2.18233,0.001505,0.001505,0.001505
7,3344.8,2.06967,2.29365,1.83539,0.34701,0.25021,0.21374,0.1018,2.2831,2.59223,2.1159,0.001406,0.001406,0.001406
8,3802.86,1.90179,2.03715,1.72708,0.42079,0.2858,0.27189,0.13239,2.2233,2.37378,2.0442,0.001307,0.001307,0.001307
9,4261.62,1.80232,1.84889,1.63739,0.4025,0.28997,0.26479,0.13224,2.18279,2.38234,2.03276,0.001208,0.001208,0.001208
10,4748.79,1.75754,1.78413,1.57859,0.43394,0.3191,0.29673,0.15084,2.13642,2.25362,1.99129,0.001109,0.001109,0.001109
11,5233.16,1.60752,1.54462,1.50877,0.45256,0.3262,0.29972,0.15166,2.15153,2.25566,2.01045,0.00101,0.00101,0.00101
12,5710.16,1.52179,1.42998,1.45869,0.4502,0.3262,0.32442,0.16645,2.11821,2.22553,2.00568,0.000911,0.000911,0.000911
13,6206.28,1.42331,1.31109,1.39854,0.48982,0.31442,0.32181,0.16481,2.14086,2.23008,2.0326,0.000812,0.000812,0.000812
14,6707.54,1.3227,1.15637,1.33127,0.49283,0.33979,0.32774,0.16568,2.12773,2.21617,2.0332,0.000713,0.000713,0.000713
15,7194.94,1.21694,1.02853,1.27747,0.51469,0.34442,0.34542,0.17833,2.1003,2.18436,2.03304,0.000614,0.000614,0.000614
16,7671.14,1.12264,0.90963,1.20825,0.49382,0.35109,0.33989,0.17469,2.12361,2.24128,2.05546,0.000515,0.000515,0.000515
17,8195.8,1.05039,0.84927,1.1752,0.53659,0.34339,0.35025,0.18196,2.11826,2.22636,2.04355,0.000416,0.000416,0.000416
18,8737.22,0.95101,0.74222,1.11899,0.49923,0.3565,0.34861,0.18199,2.10834,2.2306,2.06544,0.000317,0.000317,0.000317
19,9343.68,0.88069,0.67584,1.08358,0.51758,0.3547,0.35394,0.18444,2.12131,2.24233,2.09157,0.000218,0.000218,0.000218
20,9868.64,0.83044,0.62252,1.05788,0.52667,0.35253,0.35557,0.185,2.10612,2.22588,2.09367,0.000119,0.000119,0.000119
