epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,511.63,1.79305,7.47881,2.0976,0.05513,0.06293,0.01839,0.00748,nan,nan,nan,0.000665333,0.000665333,0.000665333
2,1021.71,1.94608,7.5145,2.23309,0.10744,0.105,0.03029,0.00965,1.98463,20.7094,2.51812,0.00127925,0.00127925,0.00127925
3,1568.1,1.88932,7.21661,2.16107,0.19462,0.14177,0.08199,0.03159,1.96386,7.55155,2.42572,0.00184037,0.00184037,0.00184037
4,2092.57,1.7142,6.31033,2.00681,0.19825,0.1959,0.11643,0.04706,1.82694,7.04363,2.25779,0.0017624,0.0017624,0.0017624
5,2667.36,1.59455,5.52652,1.87638,0.36587,0.27954,0.22,0.09845,1.67681,5.87516,2.12088,0.0016832,0.0016832,0.0016832
6,3213.47,1.49287,4.8845,1.76175,0.34302,0.28475,0.22103,0.10194,1.62299,6.16639,2.06526,0.001604,0.001604,0.001604
7,3765.44,1.41326,4.42046,1.69695,0.45083,0.29982,0.2852,0.12993,1.62462,5.79289,2.02587,0.0015248,0.0015248,0.0015248
8,4281.63,1.32917,3.87275,1.60994,0.42695,0.30778,0.28944,0.13905,1.62478,5.72972,2.0363,0.0014456,0.0014456,0.0014456
9,4794.41,1.27338,3.50482,1.56367,0.50664,0.33237,0.3393,0.16415,1.58649,5.39428,2.00792,0.0013664,0.0013664,0.0013664
10,5298.5,1.21545,3.19485,1.50959,0.50477,0.34589,0.34638,0.16999,1.57053,5.35967,1.98669,0.0012872,0.0012872,0.0012872
11,5824.49,1.13781,2.87873,1.45799,0.54865,0.32839,0.34128,0.16989,1.55392,5.41051,1.96929,0.001208,0.001208,0.001208
12,6342.29,1.09405,2.63641,1.4145,0.47282,0.34527,0.32136,0.16021,1.574,5.45252,2.02307,0.0011288,0.0011288,0.0011288
13,6857.34,1.01354,2.37538,1.34472,0.53196,0.36926,0.35637,0.18338,1.53458,5.28857,1.98002,0.0010496,0.0010496,0.0010496
14,7356.75,0.98612,2.22129,1.31899,0.54763,0.36471,0.36184,0.18554,1.52491,5.41397,1.9748,0.0009704,0.0009704,0.0009704
15,7863.46,0.93265,2.0093,1.28104,0.53183,0.3824,0.38005,0.19526,1.52118,5.26014,1.97664,0.0008912,0.0008912,0.0008912
16,8439.1,0.86923,1.86552,1.21676,0.56139,0.3785,0.39069,0.20365,1.52043,5.32968,1.98262,0.000812,0.000812,0.000812
17,9004.17,0.81063,1.6743,1.18567,0.53648,0.38218,0.38901,0.20557,1.5198,5.34574,1.99038,0.0007328,0.0007328,0.0007328
18,9576.66,0.7958,1.62732,1.17322,0.54838,0.36793,0.36976,0.1927,1.52303,5.64618,2.00714,0.0006536,0.0006536,0.0006536
19,10145.6,0.73731,1.47286,1.12419,0.56919,0.37963,0.38841,0.20346,1.51734,5.30911,2.01435,0.0005744,0.0005744,0.0005744
20,10704.8,0.68398,1.34693,1.08875,0.5716,0.37565,0.38386,0.20435,1.49647,5.36754,2.00687,0.0004952,0.0004952,0.0004952
21,11239.4,0.63261,1.2427,1.06294,0.59644,0.39204,0.40672,0.21783,1.49988,5.29224,2.02976,0.000416,0.000416,0.000416
22,11789.5,0.59749,1.16516,1.03832,0.57029,0.38252,0.3887,0.20771,1.50142,5.49729,2.04801,0.0003368,0.0003368,0.0003368
23,12323.9,0.54476,1.05691,1.00544,0.60828,0.38734,0.4046,0.2152,1.48797,5.31762,2.03469,0.0002576,0.0002576,0.0002576
24,12862,0.51563,0.99573,0.99596,0.58498,0.38662,0.40214,0.21514,1.49079,5.39241,2.04963,0.0001784,0.0001784,0.0001784
25,13401,0.49406,0.95564,0.97695,0.61981,0.37902,0.41241,0.22113,1.48851,5.33903,2.05779,9.92e-05,9.92e-05,9.92e-05
