epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,459.432,1.69349,7.53172,2.1867,0.03268,0.09582,0.0108,0.00322,2.09417,18.6048,2.90809,0.000665333,0.000665333,0.000665333
2,921.999,1.798,7.63787,2.32127,0.14546,0.08303,0.03843,0.0118,1.94099,14.3162,2.70483,0.00126607,0.00126607,0.00126607
3,1419.21,1.72865,7.12447,2.19298,0.10551,0.13453,0.06358,0.02268,nan,nan,nan,0.0018008,0.0018008,0.0018008
4,1915.31,1.57361,6.16417,2.00293,0.25752,0.17539,0.11798,0.0469,1.70123,9.97092,2.35369,0.001703,0.001703,0.001703
5,2382.7,1.47643,5.48919,1.9389,0.31322,0.23417,0.18377,0.07687,1.62083,6.78448,2.22264,0.001604,0.001604,0.001604
6,2868.36,1.39768,4.78698,1.81943,0.3871,0.2816,0.23269,0.10601,1.55077,5.99921,2.10771,0.001505,0.001505,0.001505
7,3368.06,1.31083,4.28716,1.7393,0.43024,0.29285,0.28627,0.13243,1.56489,5.84918,2.16124,0.001406,0.001406,0.001406
8,3872.21,1.27404,3.92783,1.69221,0.42146,0.29952,0.27884,0.13297,1.51104,5.87974,2.07662,0.001307,0.001307,0.001307
9,4551.05,1.18697,3.43892,1.62644,0.45444,0.33082,0.3086,0.14693,1.49462,5.56681,2.06244,0.001208,0.001208,0.001208
10,5097.81,1.1258,3.12917,1.54966,0.49892,0.35651,0.34333,0.16495,1.46092,5.16916,2.03827,0.001109,0.001109,0.001109
11,5629.66,1.04549,2.79186,1.47832,0.45492,0.32401,0.32194,0.15882,1.47187,5.80964,2.06572,0.00101,0.00101,0.00101
12,6135.95,1.02183,2.61027,1.4392,0.55709,0.35149,0.36369,0.18034,1.46361,5.37873,2.05536,0.000911,0.000911,0.000911
13,6641.54,0.93909,2.29167,1.3821,0.52382,0.37264,0.36143,0.178,1.45249,5.27156,2.07251,0.000812,0.000812,0.000812
14,7130.77,0.88223,2.03729,1.32433,0.51947,0.35711,0.35231,0.17723,1.4454,5.46033,2.05237,0.000713,0.000713,0.000713
15,7630.3,0.83307,1.88044,1.29791,0.55638,0.37324,0.38141,0.19573,1.42292,5.22121,2.03852,0.000614,0.000614,0.000614
16,8135.9,0.77049,1.71929,1.24874,0.56635,0.36153,0.3692,0.18946,1.41347,5.40092,2.02161,0.000515,0.000515,0.000515
17,8653.38,0.71873,1.56051,1.18887,0.5705,0.37479,0.38187,0.19664,1.41052,5.20547,2.05175,0.000416,0.000416,0.000416
18,9152.25,0.66391,1.41934,1.1504,0.58141,0.37443,0.38518,0.19775,1.41023,5.31283,2.05624,0.000317,0.000317,0.000317
19,9673.18,0.60995,1.2802,1.1189,0.56924,0.38017,0.38326,0.20175,1.40379,5.42811,2.07835,0.000218,0.000218,0.000218
20,10211.1,0.56947,1.20929,1.08412,0.61477,0.37467,0.39606,0.20912,1.39394,5.32835,2.0658,0.000119,0.000119,0.000119
