epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,477.935,1.86514,7.05733,2.16345,0.00269,0.00685,0.00119,0.00045,nan,nan,nan,0.000665333,0.000665333,0.000665333
2,954.547,2.0387,7.27992,2.38685,0.0529,0.05507,0.0114,0.00343,2.26978,16.0603,2.80337,0.00127925,0.00127925,0.00127925
3,1422.27,1.9211,6.60252,2.24792,0.06266,0.11428,0.01893,0.00663,2.03574,9.28187,2.59411,0.00184037,0.00184037,0.00184037
4,1885.46,1.78539,5.99179,2.10726,0.18281,0.15209,0.08061,0.03169,1.9504,8.20001,2.49375,0.0017624,0.0017624,0.0017624
5,2344.95,1.63099,5.1912,1.9201,0.27964,0.23517,0.1669,0.0697,1.80839,5.9465,2.27956,0.0016832,0.0016832,0.0016832
6,2804.55,1.53207,4.67125,1.86305,0.3162,0.23793,0.18853,0.08265,1.74919,5.91642,2.21825,0.001604,0.001604,0.001604
7,3265.62,1.48085,4.26771,1.78064,0.40791,0.30596,0.26172,0.11638,1.69504,5.28206,2.16995,0.0015248,0.0015248,0.0015248
8,3742.04,1.41372,3.84939,1.70327,0.4356,0.27346,0.26316,0.12047,1.69689,5.36379,2.1628,0.0014456,0.0014456,0.0014456
9,4197.2,1.34522,3.50693,1.65296,0.40923,0.30986,0.27938,0.13171,1.64972,5.24113,2.1574,0.0013664,0.0013664,0.0013664
10,4661.26,1.24369,3.0762,1.56952,0.47427,0.3534,0.3404,0.16211,1.59282,4.84963,2.06587,0.0012872,0.0012872,0.0012872
11,5114.69,1.21102,2.89216,1.53068,0.4775,0.32463,0.32815,0.15818,1.61154,4.9303,2.09516,0.001208,0.001208,0.001208
12,5565.35,1.14843,2.60202,1.473,0.46288,0.33656,0.32339,0.15716,1.62606,4.97033,2.12871,0.0011288,0.0011288,0.0011288
13,6017.67,1.1027,2.39869,1.43631,0.49291,0.35039,0.34243,0.1682,1.60683,5.04389,2.09908,0.0010496,0.0010496,0.0010496
14,6481.17,1.02556,2.17039,1.35276,0.49788,0.35728,0.35176,0.16951,1.62631,5.02605,2.1386,0.0009704,0.0009704,0.0009704
15,6937.04,0.97907,1.96849,1.31976,0.52786,0.38194,0.38166,0.19108,1.5647,4.6779,2.06754,0.0008912,0.0008912,0.0008912
16,7402.9,0.90951,1.77879,1.27899,0.5633,0.37789,0.38876,0.19322,1.5725,4.5879,2.08299,0.000812,0.000812,0.000812
17,7876.12,0.86465,1.67324,1.24827,0.51434,0.36646,0.36055,0.17895,1.58872,5.0188,2.12384,0.0007328,0.0007328,0.0007328
18,8338.25,0.8275,1.52202,1.20562,0.55601,0.36243,0.3683,0.18629,1.56154,4.90458,2.08465,0.0006536,0.0006536,0.0006536
19,8800.96,0.78144,1.41855,1.16641,0.52595,0.37497,0.37132,0.19052,1.55311,4.89051,2.09457,0.0005744,0.0005744,0.0005744
20,9251.58,0.72125,1.31285,1.13866,0.57046,0.37615,0.38204,0.19537,1.55892,4.85935,2.11963,0.0004952,0.0004952,0.0004952
21,9715.01,0.68485,1.22258,1.10812,0.56132,0.37592,0.37747,0.19385,1.56658,4.91111,2.15932,0.000416,0.000416,0.000416
22,10174.9,0.63548,1.11811,1.0724,0.55385,0.36894,0.37113,0.19187,1.55285,5.06831,2.1453,0.0003368,0.0003368,0.0003368
23,10630.3,0.58991,1.02342,1.03588,0.57491,0.36682,0.37938,0.19686,1.56479,5.08355,2.17233,0.0002576,0.0002576,0.0002576
24,11085.7,0.54792,0.96475,1.02297,0.58052,0.37391,0.38927,0.20143,1.55378,4.96278,2.17628,0.0001784,0.0001784,0.0001784
25,11543.3,0.51566,0.91594,1.0067,0.56841,0.37674,0.37835,0.19823,1.54578,5.06667,2.17927,9.92e-05,9.92e-05,9.92e-05
