epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,512.774,1.82088,6.60268,2.09044,0.0554,0.06989,0.01764,0.00455,2.44956,13.3893,3.31562,0.000665333,0.000665333,0.000665333
2,1011.97,2.04255,6.94154,2.30079,0.00123,0.0007,0.0051,0.00303,nan,nan,nan,0.00126607,0.00126607,0.00126607
3,1490.65,1.95256,6.56484,2.21995,0.21094,0.16018,0.09667,0.0378,1.95269,6.33496,2.38944,0.0018008,0.0018008,0.0018008
4,1989.21,1.75545,5.77978,2.03118,0.30356,0.19559,0.14954,0.06156,1.87397,6.10978,2.26765,0.001703,0.001703,0.001703
5,2470.12,1.65313,5.19343,1.90323,0.30248,0.26032,0.18882,0.07905,1.76145,5.81264,2.1368,0.001604,0.001604,0.001604
6,2945.36,1.52287,4.43001,1.76567,0.36042,0.28119,0.2369,0.11103,1.73374,5.38126,2.07521,0.001505,0.001505,0.001505
7,3449.43,1.45745,4.02971,1.69029,0.42974,0.29831,0.28596,0.13677,1.67128,5.05279,2.04746,0.001406,0.001406,0.001406
8,3956.46,1.34041,3.56593,1.61899,0.4211,0.30898,0.29184,0.14177,1.64795,5.11711,2.03027,0.001307,0.001307,0.001307
9,4486.1,1.29014,3.21316,1.54787,0.51607,0.31637,0.32548,0.16165,1.62798,4.89439,2.02719,0.001208,0.001208,0.001208
10,4986.16,1.20717,2.84876,1.47891,0.48791,0.35573,0.3408,0.17327,1.58724,4.60675,1.9931,0.001109,0.001109,0.001109
11,5525.65,1.1462,2.53579,1.41779,0.51498,0.36796,0.37582,0.19211,1.55762,4.62607,1.94198,0.00101,0.00101,0.00101
12,6040.69,1.08979,2.34183,1.37879,0.51785,0.37077,0.36046,0.18712,1.55719,4.57157,1.97016,0.000911,0.000911,0.000911
13,6543.89,1.01316,2.08503,1.32092,0.54561,0.38415,0.38404,0.1989,1.54555,4.54193,1.96047,0.000812,0.000812,0.000812
14,7078.25,0.94395,1.87545,1.26997,0.50348,0.36538,0.35657,0.18493,1.56955,4.76559,1.98384,0.000713,0.000713,0.000713
15,7607.27,0.90036,1.76185,1.23662,0.54787,0.37327,0.3867,0.20231,1.57451,4.83147,1.97937,0.000614,0.000614,0.000614
16,8140.38,0.81818,1.52977,1.18748,0.60066,0.37394,0.39983,0.21441,1.52757,4.64964,1.97857,0.000515,0.000515,0.000515
17,8654.44,0.76975,1.40323,1.14203,0.55827,0.39036,0.39511,0.20979,1.54444,4.66424,2.0123,0.000416,0.000416,0.000416
18,9190.88,0.72495,1.29546,1.10604,0.55976,0.39013,0.39625,0.21347,1.53444,4.64906,2.00834,0.000317,0.000317,0.000317
19,9714.8,0.64598,1.13606,1.0624,0.58595,0.39329,0.4066,0.22064,1.52315,4.70736,1.99933,0.000218,0.000218,0.000218
