epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,619.76,1.55913,3.93108,1.92175,0.3888,0.30865,0.28929,0.12837,1.88177,9.08197,2.54154,0.00968256,0.00968256,0.0764159
2,1227.15,1.87791,4.18479,2.23979,0.33732,0.3149,0.2652,0.11634,2.04991,9.93384,2.68156,0.018425,0.018425,0.051825
3,1766.68,2.01838,4.2882,2.44339,0.24187,0.26957,0.17115,0.07429,2.09355,13.4849,2.88353,0.0262069,0.0262069,0.0262736
4,2289.39,1.95256,3.94602,2.39009,0.45271,0.35216,0.38829,0.20199,1.98527,4.44656,2.63953,0.0247837,0.0247837,0.0247837
5,2826.24,1.82759,3.46251,2.26611,0.5602,0.44141,0.49875,0.26785,1.85575,3.98133,2.5048,0.0233429,0.0233429,0.0233429
6,3357.44,1.70499,3.04285,2.17062,0.60659,0.4532,0.51677,0.28298,1.79512,3.60414,2.40852,0.0219022,0.0219022,0.0219022
7,3916.56,1.62443,2.86502,2.07436,0.61825,0.44164,0.54047,0.30031,1.80157,3.49956,2.4396,0.0204614,0.0204614,0.0204614
8,4428.62,1.57574,2.68607,2.03987,0.62792,0.4809,0.57115,0.33768,1.73174,3.27979,2.38013,0.0190207,0.0190207,0.0190207
9,4944.47,1.50611,2.48992,1.97138,0.6423,0.45008,0.57013,0.34372,1.73421,3.50551,2.32261,0.01758,0.01758,0.01758
10,5470.06,1.45375,2.29864,1.89044,0.65553,0.49874,0.59653,0.35682,1.69674,3.08569,2.28073,0.0161392,0.0161392,0.0161392
11,5975.76,1.40277,2.15329,1.85176,0.61521,0.498,0.57687,0.34449,1.70062,3.20416,2.30721,0.0146985,0.0146985,0.0146985
12,6548.8,1.36951,2.01103,1.81259,0.6411,0.50354,0.60547,0.36899,1.68144,3.11314,2.29656,0.0132577,0.0132577,0.0132577
13,7081.66,1.30103,1.89565,1.76758,0.69599,0.49635,0.61825,0.38089,1.64601,3.0526,2.28586,0.011817,0.011817,0.011817
14,7588.3,1.25089,1.79452,1.71043,0.67847,0.48456,0.60513,0.37365,1.63922,3.16808,2.26196,0.0103763,0.0103763,0.0103763
15,8085.61,1.18351,1.63398,1.65539,0.68335,0.52921,0.64075,0.40189,1.6073,2.93291,2.2309,0.00893551,0.00893551,0.00893551
16,8609.76,1.13234,1.51946,1.6067,0.68197,0.5395,0.64349,0.41001,1.5955,2.95607,2.24598,0.00749477,0.00749477,0.00749477
17,9128.05,1.07104,1.4107,1.54529,0.72444,0.49823,0.63431,0.40143,1.57583,3.06088,2.21847,0.00605403,0.00605403,0.00605403
18,9658.43,1.00145,1.27814,1.51631,0.71422,0.5224,0.65344,0.42104,1.56336,3.08762,2.19124,0.00461329,0.00461329,0.00461329
19,10177.5,0.94142,1.18704,1.45362,0.70415,0.53867,0.65062,0.41881,1.54131,2.95853,2.21647,0.00317254,0.00317254,0.00317254
20,10680,0.88206,1.09739,1.41261,0.74853,0.52735,0.65998,0.42755,1.52932,2.90373,2.20058,0.0017318,0.0017318,0.0017318
