epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,575.937,1.47566,3.57349,1.53452,0.60504,0.42704,0.50005,0.3122,1.52209,4.23836,1.60833,0.00385953,0.00385953,0.0705929
2,1143.78,1.57303,3.15826,1.53733,0.59493,0.45194,0.49464,0.27094,1.72366,3.83455,1.73898,0.00734431,0.00734431,0.0407443
3,1703.88,1.72079,3.42067,1.66533,0.29868,0.3465,0.26644,0.13222,1.9037,6.08257,1.97034,0.0104462,0.0104462,0.0105129
4,2295.09,1.75304,3.35159,1.70683,0.51765,0.42012,0.42059,0.22464,1.79103,4.77544,1.86746,0.00987892,0.00987892,0.00987892
5,2906.02,1.62192,2.92022,1.62181,0.57461,0.47297,0.51288,0.28789,1.74076,3.59264,1.82866,0.00930463,0.00930463,0.00930463
6,3470.43,1.53429,2.66656,1.55462,0.65277,0.46856,0.55966,0.32894,1.67235,3.48265,1.76235,0.00873034,0.00873034,0.00873034
7,4101.03,1.44312,2.30629,1.49726,0.63468,0.47357,0.55005,0.32354,1.68271,3.31631,1.75988,0.00815605,0.00815605,0.00815605
8,4729.11,1.35083,2.09424,1.41836,0.66646,0.52403,0.61739,0.38612,1.60088,2.99302,1.71367,0.00758176,0.00758176,0.00758176
9,5316.31,1.29811,1.84411,1.3767,0.72255,0.51915,0.63309,0.39544,1.5955,2.92857,1.71142,0.00700747,0.00700747,0.00700747
10,5890.62,1.23244,1.69494,1.33254,0.71239,0.53317,0.63475,0.39603,1.56972,2.86,1.6939,0.00643319,0.00643319,0.00643319
11,6488.17,1.16011,1.59974,1.28198,0.716,0.50483,0.63312,0.41375,1.53776,3.02827,1.68284,0.0058589,0.0058589,0.0058589
12,7078.89,1.12252,1.46866,1.26933,0.74769,0.53645,0.66062,0.42756,1.53417,2.84169,1.68031,0.00528461,0.00528461,0.00528461
13,7648.19,1.05265,1.3337,1.22372,0.74033,0.54635,0.66151,0.42228,1.53781,2.79239,1.68025,0.00471032,0.00471032,0.00471032
14,8292.44,1.00272,1.23771,1.19283,0.7343,0.54743,0.6552,0.42265,1.50649,2.74367,1.66758,0.00413603,0.00413603,0.00413603
15,8893.74,0.93577,1.14081,1.14341,0.75961,0.5417,0.67035,0.43953,1.50597,2.71668,1.6665,0.00356175,0.00356175,0.00356175
16,9482.12,0.89876,1.08159,1.12874,0.74764,0.54385,0.66394,0.43822,1.49067,2.805,1.67137,0.00298746,0.00298746,0.00298746
17,10106.9,0.84832,0.99732,1.09755,0.76405,0.54209,0.67434,0.45223,1.47688,2.77438,1.67228,0.00241317,0.00241317,0.00241317
18,10710,0.81019,0.94267,1.08979,0.76818,0.5385,0.67286,0.45298,1.47785,2.7967,1.67255,0.00183888,0.00183888,0.00183888
19,11357.7,0.75611,0.87247,1.0582,0.76709,0.54087,0.66998,0.4514,1.47405,2.85859,1.66701,0.00126459,0.00126459,0.00126459
20,11965,0.70513,0.80478,1.03526,0.77728,0.54683,0.67687,0.45799,1.4566,2.76444,1.65312,0.000690306,0.000690306,0.000690306
