epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,495.912,2.72703,2.55253,2.30326,0.04597,0.04528,0.01309,0.00328,nan,nan,nan,0.000665333,0.000665333,0.000665333
2,1000.18,3.0874,2.7389,2.62712,0.06304,0.05693,0.01923,0.00544,nan,nan,nan,0.00126607,0.00126607,0.00126607
3,1480.46,2.93293,2.6547,2.50789,0.1338,0.07842,0.03691,0.01315,3.07958,2.81965,2.75728,0.0018008,0.0018008,0.0018008
4,1947.87,2.75681,2.46769,2.34409,0.01385,0.03945,0.00723,0.00254,nan,nan,nan,0.001703,0.001703,0.001703
5,2397.78,2.56582,2.2515,2.18839,0.24441,0.16497,0.11991,0.04744,2.62825,2.203,2.3778,0.001604,0.001604,0.001604
6,2869.68,2.41857,2.07483,2.09788,0.27452,0.20126,0.15418,0.06072,2.51701,2.13931,2.28136,0.001505,0.001505,0.001505
7,3328.95,2.32506,1.95282,2.00442,0.28688,0.20248,0.1477,0.06453,2.45652,2.11162,2.23213,0.001406,0.001406,0.001406
8,3780.03,2.19522,1.82103,1.89219,0.25395,0.22712,0.16211,0.07108,2.40475,2.09835,2.17575,0.001307,0.001307,0.001307
9,4232.35,2.10882,1.71776,1.85601,0.30777,0.23889,0.20133,0.09228,2.34235,1.91859,2.15817,0.001208,0.001208,0.001208
10,4679.04,1.98147,1.57347,1.74699,0.34189,0.27495,0.22452,0.10515,2.34049,1.8713,2.17775,0.001109,0.001109,0.001109
11,5146.29,1.86137,1.45037,1.66628,0.4031,0.30056,0.26651,0.12699,2.28775,1.76669,2.09538,0.00101,0.00101,0.00101
12,5593.81,1.74225,1.31406,1.61476,0.40623,0.28684,0.26795,0.12894,2.279,1.80103,2.1181,0.000911,0.000911,0.000911
13,6045.68,1.67119,1.24902,1.56026,0.43743,0.29485,0.2843,0.13761,2.29397,1.74253,2.15184,0.000812,0.000812,0.000812
14,6493.12,1.54449,1.10282,1.47775,0.43848,0.311,0.29764,0.14437,2.28242,1.72382,2.13465,0.000713,0.000713,0.000713
15,6954.48,1.46029,1.04139,1.42725,0.45497,0.31088,0.29766,0.14643,2.2779,1.74296,2.14176,0.000614,0.000614,0.000614
16,7404.52,1.38717,0.95287,1.38676,0.43776,0.31245,0.28836,0.1464,2.23781,1.72178,2.12551,0.000515,0.000515,0.000515
17,7862.33,1.26529,0.86203,1.32268,0.47672,0.31662,0.31505,0.15751,2.24065,1.73357,2.13122,0.000416,0.000416,0.000416
18,8314.74,1.19089,0.77896,1.25692,0.46224,0.32289,0.31114,0.1573,2.2308,1.7199,2.15585,0.000317,0.000317,0.000317
19,8787.36,1.1049,0.71145,1.21067,0.47284,0.33339,0.31999,0.16366,2.23753,1.68817,2.16776,0.000218,0.000218,0.000218
20,9254.05,1.02871,0.65719,1.1837,0.4557,0.33009,0.31435,0.16165,2.22873,1.72023,2.17764,0.000119,0.000119,0.000119
