epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,523.39,1.74019,8.62229,2.18525,0.05291,0.04898,0.01742,0.00628,2.24022,16.3573,3.42699,0.000665333,0.000665333,0.000665333
2,1031.2,1.9267,8.97221,2.45821,0.0806,0.08446,0.02698,0.00962,2.09811,9.96895,2.7654,0.00126607,0.00126607,0.00126607
3,1535.41,1.84011,8.39233,2.36562,0.19522,0.11899,0.07649,0.02755,1.9327,8.54776,2.52269,0.0018008,0.0018008,0.0018008
4,2039.1,1.71161,7.38853,2.21159,0.18705,0.17087,0.08745,0.03451,1.83374,8.92916,2.41134,0.001703,0.001703,0.001703
5,2522.3,1.59081,6.68492,2.08947,0.29601,0.23106,0.16817,0.0683,1.73236,7.31563,2.33172,0.001604,0.001604,0.001604
6,3028.91,1.51872,6.13102,1.94621,0.34717,0.26277,0.20807,0.08977,1.63241,6.83275,2.21181,0.001505,0.001505,0.001505
7,3517.88,1.42138,5.4658,1.88117,0.32685,0.2831,0.23262,0.10256,1.58465,6.66419,2.16026,0.001406,0.001406,0.001406
8,4014.9,1.37614,4.972,1.82611,0.433,0.29825,0.28325,0.13052,1.5597,6.41579,2.10996,0.001307,0.001307,0.001307
9,4507.05,1.28719,4.41355,1.7288,0.46349,0.31215,0.299,0.13905,1.54322,6.26239,2.1109,0.001208,0.001208,0.001208
10,5016.8,1.21978,3.99838,1.63677,0.44038,0.29484,0.27974,0.13073,1.56022,6.65128,2.13943,0.001109,0.001109,0.001109
11,5519.34,1.17098,3.62957,1.6076,0.50558,0.32809,0.33098,0.16101,1.51673,6.08054,2.07748,0.00101,0.00101,0.00101
12,6023.35,1.12519,3.33165,1.55089,0.51666,0.35887,0.36249,0.17716,1.48445,5.79106,2.036,0.000911,0.000911,0.000911
13,6512.96,1.07759,3.11844,1.51441,0.51632,0.34794,0.34104,0.16613,1.49679,5.90238,2.05762,0.000812,0.000812,0.000812
14,6995.21,1.01178,2.70692,1.44022,0.53211,0.36149,0.36688,0.18139,1.48564,5.83653,2.06066,0.000713,0.000713,0.000713
15,7492.71,0.93725,2.4481,1.38791,0.56216,0.35217,0.37327,0.18428,1.48436,6.02838,2.07537,0.000614,0.000614,0.000614
16,7986.49,0.87262,2.2074,1.32408,0.52545,0.34958,0.351,0.17446,1.49245,6.05527,2.11329,0.000515,0.000515,0.000515
17,8466.81,0.81849,2.00389,1.28052,0.5451,0.36556,0.37231,0.19034,1.46934,5.85116,2.08185,0.000416,0.000416,0.000416
18,8963.59,0.76944,1.83619,1.24399,0.54534,0.37261,0.37448,0.19135,1.46485,6.0337,2.08734,0.000317,0.000317,0.000317
19,9446.81,0.70622,1.68155,1.18846,0.54522,0.36869,0.37172,0.19127,1.46443,6.13259,2.10991,0.000218,0.000218,0.000218
20,9930.52,0.65965,1.5367,1.15561,0.56832,0.37061,0.38677,0.20079,1.45233,6.03089,2.09432,0.000119,0.000119,0.000119
