epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,499.849,2.13104,9.27882,2.09964,0.00393,0.02234,0.00074,0.00031,nan,nan,nan,0.000665333,0.000665333,0.000665333
2,991.923,2.29258,9.09083,2.23802,0.10948,0.16699,0.05858,0.02223,2.39259,15.459,2.46176,0.00126607,0.00126607,0.00126607
3,1495.36,2.23213,8.75379,2.16198,0.13542,0.12124,0.04636,0.01502,2.41533,10.4729,2.50176,0.0018008,0.0018008,0.0018008
4,1973.87,2.06316,7.66952,2.02319,0.27036,0.20592,0.14871,0.06317,2.19274,8.5389,2.24597,0.001703,0.001703,0.001703
5,2446.82,1.90885,6.74069,1.88234,0.33069,0.25776,0.21469,0.09223,2.04886,7.59078,2.10714,0.001604,0.001604,0.001604
6,2936.87,1.8126,6.03867,1.81619,0.40687,0.29623,0.26327,0.12373,1.95725,7.36084,2.05238,0.001505,0.001505,0.001505
7,3409.76,1.71211,5.42615,1.74172,0.49691,0.32645,0.33317,0.15763,1.89136,6.75137,1.98938,0.001406,0.001406,0.001406
8,3872.36,1.60092,4.78758,1.64917,0.46799,0.31163,0.312,0.15055,1.92205,6.95944,2.02355,0.001307,0.001307,0.001307
9,4331,1.54955,4.40677,1.61082,0.45917,0.32573,0.31091,0.14372,1.96814,7.05894,2.08355,0.001208,0.001208,0.001208
10,4797.19,1.44315,3.89979,1.53656,0.50967,0.36216,0.36575,0.17802,1.85758,6.5756,1.9919,0.001109,0.001109,0.001109
11,5325.8,1.38443,3.50088,1.46488,0.54146,0.37375,0.38772,0.19159,1.84578,6.3958,1.99111,0.00101,0.00101,0.00101
12,5805.7,1.29339,3.07479,1.40382,0.52224,0.37052,0.36598,0.18464,1.83599,6.58333,1.9815,0.000911,0.000911,0.000911
13,6293.83,1.21283,2.83232,1.36436,0.53017,0.35129,0.36102,0.17807,1.8835,6.94237,2.00441,0.000812,0.000812,0.000812
14,6765.31,1.14375,2.56194,1.3327,0.55025,0.38258,0.38465,0.19713,1.82722,6.49381,1.96707,0.000713,0.000713,0.000713
15,7267.63,1.06355,2.32137,1.26379,0.57061,0.3833,0.39552,0.20436,1.79942,6.47998,1.97471,0.000614,0.000614,0.000614
16,7733.64,1.01336,2.16006,1.24002,0.54566,0.3741,0.37516,0.19448,1.81352,6.70179,1.96954,0.000515,0.000515,0.000515
17,8209.29,0.94656,1.99308,1.19262,0.54466,0.3822,0.3757,0.196,1.80208,6.49053,1.99107,0.000416,0.000416,0.000416
18,8680.07,0.86272,1.73472,1.14195,0.59572,0.3902,0.40649,0.21221,1.80365,6.61426,2.00921,0.000317,0.000317,0.000317
19,9154.87,0.80087,1.59591,1.10522,0.574,0.39061,0.38711,0.20341,1.80288,6.62778,2.03289,0.000218,0.000218,0.000218
20,9648.6,0.73797,1.48273,1.05887,0.59674,0.38103,0.40106,0.21225,1.79746,6.68564,2.02129,0.000119,0.000119,0.000119
