epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,562.036,2.20755,7.59556,2.13942,0.00596,0.01109,0.00293,0.00097,nan,nan,nan,0.000665333,0.000665333,0.000665333
2,1102.64,2.44574,7.69607,2.40938,0.00639,0.0273,0.00105,0.00027,3.32768,19.0704,4.14983,0.00126607,0.00126607,0.00126607
3,1615.17,2.31979,7.30873,2.30777,0.09596,0.10861,0.03243,0.01328,2.56271,11.8083,2.64207,0.0018008,0.0018008,0.0018008
4,2114.04,2.14513,6.43665,2.14318,0.24405,0.196,0.13233,0.05169,2.26286,6.75885,2.36348,0.001703,0.001703,0.001703
5,2621.65,2.00321,5.79069,2.02287,0.30102,0.25012,0.20034,0.08981,2.02508,6.10519,2.18697,0.001604,0.001604,0.001604
6,3118.63,1.8536,5.05748,1.8844,0.36165,0.2656,0.23298,0.10382,2.04174,6.11197,2.18353,0.001505,0.001505,0.001505
7,3596.3,1.76619,4.56974,1.79293,0.42695,0.29973,0.28475,0.13046,1.93482,5.65233,2.08397,0.001406,0.001406,0.001406
8,4072.64,1.67489,4.09493,1.73674,0.4478,0.33008,0.31974,0.14956,1.90399,5.32753,2.08032,0.001307,0.001307,0.001307
9,4545.73,1.58704,3.65076,1.65593,0.48311,0.32643,0.33611,0.16464,1.88068,5.30382,2.02919,0.001208,0.001208,0.001208
10,5028.59,1.51174,3.26728,1.57826,0.48358,0.33252,0.33275,0.16303,1.87845,5.2514,2.04944,0.001109,0.001109,0.001109
11,5514.54,1.39569,2.94,1.52308,0.53644,0.35842,0.37527,0.18717,1.85837,5.1303,2.04645,0.00101,0.00101,0.00101
12,6012.13,1.33652,2.68815,1.48331,0.5162,0.35702,0.35802,0.18129,1.85064,5.26149,2.06614,0.000911,0.000911,0.000911
13,6514.18,1.27652,2.45481,1.4379,0.53033,0.37153,0.37568,0.18785,1.85718,5.07968,2.04339,0.000812,0.000812,0.000812
14,7016.44,1.1947,2.1711,1.37541,0.57021,0.38567,0.40259,0.20761,1.8326,4.90824,2.02602,0.000713,0.000713,0.000713
15,7514.03,1.11756,1.96548,1.32146,0.52457,0.39566,0.38798,0.19829,1.83845,5.01751,2.04093,0.000614,0.000614,0.000614
16,8023.33,1.03204,1.7752,1.2748,0.56407,0.38341,0.40013,0.20919,1.82427,5.14,2.04982,0.000515,0.000515,0.000515
17,8499.13,0.95783,1.60125,1.21082,0.58513,0.37981,0.40636,0.21183,1.80593,5.13118,2.04331,0.000416,0.000416,0.000416
18,8963.82,0.90146,1.48788,1.17597,0.60788,0.37433,0.41255,0.21767,1.80175,5.14074,2.05955,0.000317,0.000317,0.000317
19,9453.15,0.79661,1.31212,1.12021,0.61515,0.38396,0.41565,0.22156,1.78977,5.08811,2.04423,0.000218,0.000218,0.000218
20,9924.88,0.77898,1.25575,1.1014,0.59026,0.38877,0.42,0.22577,1.78541,5.08491,2.04273,0.000119,0.000119,0.000119
