epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,535.883,2.17782,7.71779,2.13222,0.03312,0.0492,0.01023,0.00366,2.67896,18.2434,3.01613,0.000665333,0.000665333,0.000665333
2,1062.12,2.42352,8.16661,2.36003,0.10559,0.10756,0.04864,0.0168,2.37435,12.4389,2.53897,0.00127925,0.00127925,0.00127925
3,1563.68,2.26806,7.44785,2.24193,0.16844,0.07814,0.049,0.01682,2.42094,13.3005,2.6236,0.00184037,0.00184037,0.00184037
4,2097.58,2.16724,6.75644,2.13823,0.27763,0.20198,0.13988,0.05465,2.22259,8.26573,2.40081,0.0017624,0.0017624,0.0017624
5,2594.24,1.95442,5.85931,1.94181,0.27721,0.22127,0.15307,0.06691,2.12311,6.93689,2.27365,0.0016832,0.0016832,0.0016832
6,3098.19,1.84915,5.22763,1.86282,0.36643,0.27602,0.2317,0.10454,2.00645,6.24835,2.16529,0.001604,0.001604,0.001604
7,3591.1,1.79043,4.78542,1.79585,0.40247,0.29321,0.26065,0.1217,2.01707,5.99903,2.1541,0.0015248,0.0015248,0.0015248
8,4116.43,1.65056,4.17862,1.69025,0.39494,0.31183,0.2608,0.12206,1.98283,5.97739,2.11688,0.0014456,0.0014456,0.0014456
9,4586.99,1.61024,3.90292,1.65459,0.46621,0.31062,0.30271,0.15037,1.93432,5.86763,2.08063,0.0013664,0.0013664,0.0013664
10,5067.03,1.51794,3.4117,1.5735,0.44034,0.33472,0.31277,0.15177,1.9501,5.76935,2.09092,0.0012872,0.0012872,0.0012872
11,5530.42,1.44018,3.10249,1.52414,0.50694,0.34728,0.35256,0.17619,1.8944,5.47943,2.04313,0.001208,0.001208,0.001208
12,5997.59,1.36745,2.83749,1.48724,0.51828,0.31617,0.31687,0.15691,1.95346,5.95757,2.12863,0.0011288,0.0011288,0.0011288
13,6471.23,1.33024,2.63454,1.4357,0.51994,0.35106,0.35011,0.17707,1.88907,5.5258,2.06113,0.0010496,0.0010496,0.0010496
14,6961.92,1.23242,2.38339,1.37108,0.51979,0.35584,0.35773,0.18297,1.88153,5.6191,2.03341,0.0009704,0.0009704,0.0009704
15,7441.69,1.17087,2.16922,1.3359,0.53913,0.35825,0.36236,0.18773,1.88469,5.77228,2.09328,0.0008912,0.0008912,0.0008912
16,7919.16,1.1169,2.00412,1.29587,0.56469,0.36416,0.38159,0.20061,1.83669,5.55846,2.03249,0.000812,0.000812,0.000812
17,8384.76,1.05273,1.85963,1.24521,0.52778,0.36802,0.35955,0.18423,1.86907,5.59561,2.08813,0.0007328,0.0007328,0.0007328
18,8844.78,0.97336,1.64677,1.1979,0.55555,0.37429,0.38125,0.20048,1.85256,5.72568,2.10396,0.0006536,0.0006536,0.0006536
19,9303.98,0.89489,1.53549,1.15599,0.59133,0.36633,0.39583,0.20827,1.85125,5.59927,2.10463,0.0005744,0.0005744,0.0005744
20,9774.18,0.85742,1.43728,1.13534,0.557,0.37622,0.38218,0.20516,1.8287,5.80889,2.07304,0.0004952,0.0004952,0.0004952
21,10231.5,0.81302,1.35266,1.11832,0.56965,0.37067,0.38788,0.20729,1.82544,5.64632,2.10623,0.000416,0.000416,0.000416
22,10704,0.75204,1.2361,1.06583,0.56081,0.38647,0.40029,0.21539,1.825,5.55871,2.10933,0.0003368,0.0003368,0.0003368
23,11162.9,0.69029,1.16192,1.04662,0.60348,0.38264,0.40379,0.21714,1.82423,5.61344,2.12336,0.0002576,0.0002576,0.0002576
24,11670.2,0.64906,1.0783,1.02357,0.60729,0.38418,0.41148,0.22361,1.80323,5.54576,2.10646,0.0001784,0.0001784,0.0001784
25,12125.5,0.61164,1.0214,1.00753,0.59553,0.38671,0.41077,0.22244,1.81032,5.60881,2.12347,9.92e-05,9.92e-05,9.92e-05
