epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,582.609,1.32051,4.66876,0.49911,0.66683,0.51716,0.60354,0.38729,1.3388,3.91018,0.51256,0.0025192,0.0025192,0.0692525
2,1149.25,1.31591,3.61366,0.47017,0.62592,0.48046,0.55631,0.32804,1.47321,4.31483,0.55852,0.0047938,0.0047938,0.0381938
3,1707.21,1.44956,4.25479,0.50535,0.52186,0.39168,0.43725,0.22154,1.6727,6.39693,0.63085,0.0068185,0.0068185,0.00688516
4,2241.01,1.55728,4.37508,0.56181,0.5835,0.44245,0.51092,0.26112,1.72234,4.88496,0.64888,0.0064482,0.0064482,0.0064482
5,2774.68,1.52894,3.96976,0.54608,0.63887,0.45543,0.5544,0.30956,1.57353,4.60651,0.61294,0.00607334,0.00607334,0.00607334
6,3328.92,1.43347,3.5191,0.52039,0.60471,0.46044,0.54356,0.30752,1.59255,4.45108,0.62129,0.00569849,0.00569849,0.00569849
7,3849.74,1.42094,3.34366,0.51554,0.6645,0.50011,0.58953,0.33771,1.54314,4.14941,0.58429,0.00532364,0.00532364,0.00532364
8,4370.86,1.37788,3.08015,0.5015,0.67359,0.49452,0.61657,0.37614,1.50195,4.16015,0.57598,0.00494879,0.00494879,0.00494879
9,4881.63,1.31041,2.79116,0.48518,0.6976,0.52085,0.63092,0.37956,1.46648,4.05559,0.57402,0.00457394,0.00457394,0.00457394
10,5382.81,1.2562,2.63687,0.4748,0.70301,0.52741,0.63785,0.39152,1.42878,3.98412,0.56145,0.00419909,0.00419909,0.00419909
11,5880.08,1.22495,2.47085,0.46729,0.69383,0.53777,0.63304,0.37998,1.45504,3.8255,0.56766,0.00382424,0.00382424,0.00382424
12,6377.44,1.20145,2.35523,0.45851,0.71536,0.52538,0.64353,0.40257,1.45257,3.84579,0.57008,0.00344939,0.00344939,0.00344939
13,6916.54,1.13358,2.14742,0.44775,0.73388,0.54218,0.65824,0.41702,1.40759,3.7248,0.55154,0.00307454,0.00307454,0.00307454
14,7440.65,1.08513,1.99086,0.431,0.71488,0.54436,0.65238,0.41615,1.40033,3.72379,0.55411,0.00269968,0.00269968,0.00269968
15,7950.43,1.04932,1.88237,0.42223,0.7002,0.54838,0.65038,0.41267,1.38484,3.6521,0.54631,0.00232483,0.00232483,0.00232483
16,8470.99,1.03606,1.79391,0.4118,0.74695,0.55267,0.67413,0.43888,1.36442,3.76685,0.54171,0.00194998,0.00194998,0.00194998
17,8973.32,0.95569,1.60139,0.40043,0.76273,0.54547,0.67676,0.43885,1.34781,3.69686,0.54139,0.00157513,0.00157513,0.00157513
18,9486.47,0.90657,1.47546,0.39165,0.76557,0.54397,0.67834,0.4454,1.32629,3.74713,0.53645,0.00120028,0.00120028,0.00120028
19,9997.48,0.86351,1.35652,0.37939,0.76789,0.56256,0.68742,0.4522,1.32091,3.62423,0.53276,0.00082543,0.00082543,0.00082543
20,10525.5,0.82176,1.26411,0.37952,0.76232,0.57138,0.69068,0.45556,1.30068,3.53767,0.52658,0.000450579,0.000450579,0.000450579
