epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,630.894,1.44641,3.91211,1.31238,0.66844,0.47246,0.58927,0.38765,1.51029,3.43534,1.36974,0.00272932,0.00272932,0.0694626
2,1254.82,1.43384,3.17553,1.25987,0.51787,0.40696,0.43199,0.25723,1.63278,4.33915,1.47711,0.00519363,0.00519363,0.0385936
3,1863.86,1.58986,3.38192,1.34986,0.50543,0.42446,0.43398,0.23603,1.77502,5.86504,1.62113,0.0073872,0.0073872,0.00745387
4,2471.58,1.67102,3.45487,1.40658,0.48895,0.46652,0.42855,0.22326,1.76057,4.95182,1.58057,0.00698601,0.00698601,0.00698601
5,3058.81,1.55134,3.0314,1.36081,0.64921,0.48558,0.57598,0.33541,1.69005,3.65837,1.5335,0.0065799,0.0065799,0.0065799
6,3644.58,1.49745,2.72931,1.30008,0.66235,0.46907,0.5746,0.33552,1.69138,3.76165,1.52551,0.00617378,0.00617378,0.00617378
7,4210.52,1.40398,2.40622,1.25168,0.69763,0.52232,0.62852,0.38323,1.62465,3.30988,1.47778,0.00576766,0.00576766,0.00576766
8,4774.2,1.32278,2.17275,1.20323,0.71399,0.53112,0.63563,0.3919,1.58573,3.28478,1.45356,0.00536155,0.00536155,0.00536155
9,5350.48,1.2541,1.98786,1.16069,0.67818,0.54448,0.63484,0.39118,1.59675,3.15847,1.48188,0.00495543,0.00495543,0.00495543
10,5937.12,1.19528,1.859,1.12998,0.69776,0.54356,0.64078,0.40847,1.54169,3.10815,1.42964,0.00454932,0.00454932,0.00454932
11,6507.86,1.14827,1.68081,1.1017,0.75365,0.54294,0.67052,0.43201,1.52464,3.07247,1.44502,0.0041432,0.0041432,0.0041432
12,7081.37,1.08705,1.54793,1.06735,0.74914,0.53311,0.65532,0.43102,1.51305,3.13242,1.42274,0.00373709,0.00373709,0.00373709
13,7640.2,1.05068,1.44795,1.03175,0.73779,0.54197,0.65996,0.4372,1.49132,3.05641,1.40898,0.00333097,0.00333097,0.00333097
14,8197.38,1.01417,1.36827,1.02398,0.73166,0.56788,0.67109,0.44464,1.47089,2.95261,1.3823,0.00292485,0.00292485,0.00292485
15,8743.58,0.94427,1.248,0.9813,0.77439,0.54391,0.6782,0.44664,1.47919,3.10516,1.402,0.00251874,0.00251874,0.00251874
16,9304.01,0.89394,1.15835,0.96079,0.74303,0.56053,0.67599,0.44964,1.47385,3.12543,1.41461,0.00211262,0.00211262,0.00211262
17,9863.46,0.84168,1.0671,0.93966,0.75985,0.56535,0.68232,0.45722,1.45349,3.00035,1.39986,0.00170651,0.00170651,0.00170651
18,10430,0.80404,1.0068,0.93405,0.764,0.55996,0.68305,0.46051,1.44427,2.99689,1.38723,0.00130039,0.00130039,0.00130039
19,10993.6,0.74967,0.93903,0.89135,0.77852,0.56155,0.68993,0.46971,1.42763,2.96517,1.3825,0.000894275,0.000894275,0.000894275
20,11546.2,0.72092,0.88571,0.88889,0.76227,0.57369,0.69247,0.47394,1.42093,2.97241,1.37606,0.000488159,0.000488159,0.000488159
