epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,485.523,2.58249,6.73061,2.16948,0.00981,0.06621,0.00594,0.00129,3.41407,215.529,3.8224,0.000665333,0.000665333,0.000665333
2,976.356,2.86488,6.85231,2.36491,0.12809,0.07716,0.03535,0.01311,3.18292,8.89856,2.92944,0.00126607,0.00126607,0.00126607
3,1434.07,2.64694,6.11569,2.20205,0.157,0.15468,0.07905,0.02973,2.77844,6.90629,2.46707,0.0018008,0.0018008,0.0018008
4,1903.46,2.51279,5.66958,2.05315,0.26777,0.2272,0.16183,0.0706,2.58217,6.10493,2.28334,0.001703,0.001703,0.001703
5,2365.23,2.31873,5.04103,1.92794,0.31255,0.23577,0.19402,0.084,2.49132,5.86326,2.19348,0.001604,0.001604,0.001604
6,2818.99,2.1883,4.40546,1.84176,0.40356,0.26447,0.24601,0.10813,2.39581,5.39023,2.17723,0.001505,0.001505,0.001505
7,3285.86,2.04092,3.91405,1.74461,0.33655,0.28281,0.23444,0.09996,2.42681,5.42656,2.19506,0.001406,0.001406,0.001406
8,3746.9,1.93078,3.5054,1.66656,0.39563,0.30689,0.26358,0.11893,2.35197,5.05563,2.11353,0.001307,0.001307,0.001307
9,4215.16,1.8244,3.13412,1.59126,0.4626,0.33127,0.31585,0.15343,2.25861,4.94442,2.0597,0.001208,0.001208,0.001208
10,4667.94,1.73744,2.86763,1.53649,0.45742,0.32055,0.30833,0.15543,2.22052,4.82359,2.03732,0.001109,0.001109,0.001109
11,5129.98,1.64191,2.60399,1.47781,0.49355,0.35794,0.34959,0.17244,2.22603,4.58531,2.05067,0.00101,0.00101,0.00101
12,5585.22,1.51403,2.29244,1.41473,0.4903,0.35985,0.35587,0.17743,2.23372,4.64393,2.06363,0.000911,0.000911,0.000911
13,6027.67,1.46472,2.15099,1.38824,0.54477,0.35616,0.36875,0.18851,2.18281,4.49173,2.02886,0.000812,0.000812,0.000812
14,6479.64,1.35381,1.88668,1.32192,0.50772,0.34496,0.34858,0.17902,2.19153,4.77015,2.02832,0.000713,0.000713,0.000713
15,6918.01,1.27452,1.7325,1.28581,0.56177,0.3483,0.37422,0.19304,2.18992,4.77793,2.04206,0.000614,0.000614,0.000614
16,7401.82,1.17725,1.58455,1.2242,0.52569,0.38259,0.38167,0.19931,2.1794,4.657,2.05717,0.000515,0.000515,0.000515
17,7841.08,1.07587,1.3751,1.17248,0.55021,0.38676,0.40023,0.20924,2.15843,4.72916,2.04448,0.000416,0.000416,0.000416
18,8278.48,0.99798,1.24559,1.13585,0.56246,0.38414,0.40205,0.213,2.13738,4.65707,2.07002,0.000317,0.000317,0.000317
19,8745.37,0.94859,1.18118,1.10382,0.58275,0.37521,0.39952,0.21161,2.14906,4.72766,2.06409,0.000218,0.000218,0.000218
20,9194.24,0.87287,1.07744,1.07523,0.57916,0.38747,0.4074,0.21832,2.13156,4.6491,2.0702,0.000119,0.000119,0.000119
